fund,benchmark,n_months,IR,t_stat,ann_vol_fund,ann_vol_bench,tracking_error,hit_rate,up_capture,down_capture,cum_excess_pct,current_L,pct_h,ALARM,n_alarms,first_alarm
PineBridge Global Focus Equity Y,MSCI ACWI NR USD,305,-0.2433,-1.2267,16.31,15.62,3.79,43.6,98.7,103.6,-22.98,6.9087,34.9,True,9,2002-02
Fidelity US High Yield A-Acc-USD,ICE BofA US HY Constnd TR USD,181,-0.0335,-0.1299,7.06,7.53,2.63,55.2,91.2,86.3,-0.84,6.7704,34.2,True,2,2020-02
Fidelity US High Yield A-MInc(G)-USD,ICE BofA US HY Constnd TR USD,155,0.0154,0.0553,6.89,7.18,2.32,54.8,91.0,84.2,0.7,6.7589,34.1,True,2,2019-11
Capital Group GlbCorpBd (LUX) B,Bloomberg Gbl Agg Corp 0901 TR Hdg USD,99,-0.477,-1.3701,6.51,6.27,0.73,35.4,100.4,106.1,-2.95,6.7516,34.1,True,4,2021-12
AIA India Equity I USD,MSCI India NR USD,73,-1.249,-3.0806,15.47,17.39,3.15,27.4,81.3,89.3,-19.59,6.6754,33.7,True,5,2021-02
Schroder ISF Global Eq Yld A1 Acc USD,MSCI World NR USD,250,-0.4159,-1.8983,15.99,15.5,7.6,42.0,83.7,93.3,-48.85,6.607,33.4,True,11,2007-08
PineBridge Global Bond A,Bloomberg Global Aggregate TR Hdg USD,293,-0.2539,-1.2544,6.08,3.32,4.31,41.6,112.4,166.1,-25.76,6.4051,32.3,True,13,2005-10
PIMCO GIS US Hi Yld Bd Instl USD Acc,ICE BofA US HY Constnd TR USD,229,0.0808,0.353,8.66,10.26,4.15,55.5,86.7,75.1,9.48,6.3662,32.1,True,1,2022-11
Templeton Eastern Europe A(acc)EUR,MSCI EM Europe NR EUR,295,-0.047,-0.2329,25.31,27.09,10.2,49.5,86.8,82.6,-1.33,6.3386,32.0,True,6,2005-08
PineBridge Europe Research Enhanced Eq L,MSCI Europe NR USD,400,-0.6797,-3.9244,17.7,17.12,3.72,43.8,95.7,107.1,-58.41,6.2119,31.4,True,18,1994-09
JPM Europe Dynamic Techs A acc USD Hdg,MSCI Eur IMI/Info Tech 10-40 NR USD,144,0.3768,1.3051,18.82,22.06,8.69,58.3,87.6,66.7,59.21,5.973,30.2,True,2,2023-07
MS INVF Global Opportunity A,MSCI ACWI NR USD,186,0.2704,1.0646,18.93,14.27,10.21,53.2,111.5,101.2,35.93,5.9629,30.1,True,4,2012-12
BGF US Dollar Reserve A2 H,Secured Overnight Financing Rate(SOFR),97,-0.1117,-0.3176,8.02,0.58,7.94,47.4,67.2,,-9.25,5.6237,28.4,True,3,2018-12
PineBridge Latin America Equity Y,MSCI EM Latin America NR USD,329,-0.393,-2.0577,26.52,27.11,3.78,45.6,95.5,98.5,-30.55,5.6146,28.3,True,10,2001-11
BGF Emerging Markets Ex-China A2 H,MSCI EM ex China 10/40 NR USD,24,-0.0413,-0.0583,28.81,20.09,13.06,41.7,112.8,152.5,-4.82,5.4442,27.5,True,1,2025-01
Barings Global Resources A USD Inc,MSCI ACWI Energy/Materials NR USD,294,-0.1534,-0.7591,24.07,23.02,13.81,49.3,85.5,87.9,-44.87,5.421,27.4,True,9,2005-01
JPM Income A mth USD,Bloomberg US Agg Bond TR USD,137,0.3252,1.0988,4.77,4.85,4.52,60.6,79.3,43.5,18.25,5.4182,27.4,True,1,2016-02
