fund,benchmark,n_months,IR,t_stat,ann_vol_fund,ann_vol_bench,tracking_error,hit_rate,up_capture,down_capture,cum_excess_pct,current_L,pct_h,ALARM,n_alarms,first_alarm
AIA Asia (Ex Japan) Equity Z USD,MSCI AC Asia Ex Japan NR USD,52,-1.1238,-2.3394,19.14,21.05,4.34,38.5,86.8,101.6,-17.66,19.3526,97.7,True,2,2023-03
Value Partners Hi-Div Stks A1 USD,MSCI AC Asia Ex Japan NR USD,284,0.1149,0.5589,18.22,19.95,9.64,47.5,83.5,68.1,39.29,19.1968,96.9,True,6,2005-07
JPM Asia Pacific Income A irc RMB Hdg,JPM Asia Credit TR USD [50.00%]; MSCI AC Asia Pac Ex JPN NR USD [50.00%],146,-0.131,-0.4571,13.59,11.62,5.37,52.7,104.0,112.2,-10.9,18.6543,94.2,True,4,2016-10
FSSA Asian Eq Plus I USD Inc,MSCI AC Asia Pac Ex JPN NR USD,274,0.1125,0.5377,16.47,19.55,6.12,54.4,85.8,74.1,32.84,18.6389,94.1,True,6,2007-09
Value Partners Hi-Div Stks A2 Mdis,MSCI AC Asia Ex Japan NR USD,164,-0.1902,-0.7033,16.17,17.13,5.78,44.5,88.2,88.0,-12.05,18.4718,93.2,True,5,2017-03
Capital Group New Pers (LUX) ZL,MSCI ACWI NR USD,247,0.3887,1.7637,15.83,15.77,3.38,55.1,102.8,96.4,30.71,18.2299,92.0,True,3,2016-12
Fidelity European Growth A-Dis-EUR,MSCI Europe NR EUR,329,0.244,1.2774,18.25,17.81,5.51,50.5,99.6,93.0,41.12,18.0693,91.2,True,9,2006-09
JPM Asia Pacific Income A acc USD,JPM Asia Credit TR USD [50.00%]; MSCI AC Asia Pac Ex JPN NR USD [50.00%],169,-0.1246,-0.4678,9.98,11.42,3.48,49.1,85.5,81.1,-3.86,18.0479,91.1,True,5,2017-02
BGF Asian Tiger Bond A2,JPM Asia Credit TR USD,169,-0.2731,-1.025,5.69,7.66,4.3,42.6,71.5,72.4,-13.6,17.9207,90.5,True,4,2018-01
JPM Asia Pacific Income A mth USD,JPM Asia Credit TR USD [50.00%]; MSCI AC Asia Pac Ex JPN NR USD [50.00%],168,-0.1251,-0.4679,9.87,11.32,3.48,50.0,85.5,80.5,-3.86,17.8186,89.9,True,5,2017-02
MS INVF US Advantage A,S&P 500 (TR) (1970),245,-0.0564,-0.2549,20.31,15.18,13.3,56.3,94.5,95.1,-28.58,17.6835,89.3,True,4,2007-06
BGF US Basic Value A2,Russell 1000 Value TR USD,352,-0.3066,-1.6607,15.98,15.41,6.15,43.2,92.5,99.7,-43.64,17.6053,88.9,True,12,1998-06
Fidelity Global Bond A-Acc-USD,Bloomberg Global Aggregate TR USD,236,-0.291,-1.2904,7.04,6.12,1.98,42.8,104.9,114.8,-11.75,17.0971,86.3,True,8,2008-03
Capital Group EuroCoreEq (LUX) B,MSCI Europe NR EUR,283,-0.0993,-0.4824,18.27,17.77,3.81,48.4,98.4,99.6,-10.73,16.525,83.4,True,9,2005-02
PineBridge US Research Enhanced CoreEq A,S&P 500 NR USD,269,-1.1162,-5.285,14.58,14.65,1.64,37.5,94.3,102.5,-33.33,16.4327,83.0,True,16,2004-09
MS INVF Global Convertible Bond A USD,FTSE Global Focus Hgd CB TR USD,205,-0.8262,-3.415,8.02,13.1,7.03,39.5,54.8,57.1,-59.16,15.9384,80.5,True,10,2010-02
Invesco Asian Equity Z USD Acc,MSCI AC Asia Ex Japan NR USD,329,0.3645,1.9086,20.73,20.87,4.97,51.1,98.9,90.3,65.35,15.9232,80.4,True,6,2007-05
AIA Equity Income IDQ,MSCI ACWI NR USD,68,-0.4821,-1.1477,12.21,15.14,4.88,39.7,79.0,73.7,-10.42,15.6247,78.9,True,2,2021-10
Harris Associates Global Eq I/A USD,MSCI World NR USD,299,0.0195,0.0973,19.33,15.32,7.63,45.5,111.5,117.0,-12.77,15.4269,77.9,True,10,2008-02
Capital Group New Pers (LUX) B,MSCI ACWI NR USD,247,0.1153,0.5233,15.82,15.77,3.38,51.0,100.5,98.4,8.27,15.3029,77.2,True,5,2011-07
FTGF WA Asian Opps A USD Acc,Markit iBoxx ALBI TR USD,161,-0.7218,-2.6437,7.1,6.67,1.46,40.4,99.3,112.7,-13.53,14.3636,72.5,True,6,2015-05
FTGF WA Asian Opps A USD Dis(M)+,Markit iBoxx ALBI TR USD,161,-0.7217,-2.6434,7.1,6.67,1.46,39.8,99.2,112.6,-13.53,14.2949,72.2,True,6,2015-05
Fidelity Funds America A-Dis,S&P 500 NR USD,362,-0.3778,-2.075,15.82,15.37,6.22,46.4,91.7,100.9,-51.59,13.9015,70.2,True,12,1997-02
abrdn-Emerging Markets Bond A Acc USD,JPM EMBI Global Diversified TR USD,221,-0.0884,-0.3793,11.6,11.47,5.78,51.6,89.3,88.9,-9.7,13.7224,69.3,True,5,2008-12
PineBridge US Large Cap Research Enhnd Y,S&P 500 NR USD,249,-0.3547,-1.6157,15.06,15.08,2.02,47.4,97.8,100.9,-13.72,13.6632,69.0,True,8,2008-07
Templeton Shariah Global Eq A Acc SGD,MSCI ACWI Islamic NR USD,158,-0.8826,-3.2027,14.1,14.24,3.93,36.7,86.3,100.4,-36.31,13.4528,67.9,True,9,2014-08
UBS (Lux) EF China Oppo(USD) P USD acc,MSCI China 10/40 NR USD,329,-0.2631,-1.3775,23.28,27.63,16.64,48.0,70.4,72.6,-59.87,13.2515,66.9,True,11,2001-05
PineBridge India Equity A,MSCI India NR USD,248,0.0711,0.3233,22.38,25.87,7.98,52.4,85.1,77.1,33.57,13.1906,66.6,True,6,2006-10
BGF World Mining A2,MSCI ACWI Me&Mi 30% Bf 10/40 NR USD,171,-0.2361,-0.8914,27.43,27.58,11.65,46.2,92.6,98.0,-31.92,12.9766,65.5,True,5,2013-02
HSBC GIF ASEAN Equity AD,MSCI AC ASEAN NR USD,305,0.2895,1.4595,24.68,18.16,14.61,52.5,112.7,96.4,104.81,12.8381,64.8,True,5,2005-06
JPM India (acc) - USD,MSCI India 10/40 NR USD,329,-0.1325,-0.6938,26.58,26.47,7.5,45.9,97.4,99.6,-24.47,12.4421,62.8,True,11,2001-04
Value Partners Hi-Div Stks A2 RMB H Mdis,MSCI AC Asia Ex Japan NR USD,140,-0.2262,-0.7727,20.66,18.03,7.46,50.0,103.4,114.0,-22.47,12.2371,61.8,True,4,2016-06
M&G Global Corporate Bd L Sterling Acc,Bloomberg Gbl Agg Corp TR Hdg GBP,28,-0.1051,-0.1606,9.36,9.21,1.39,42.9,97.2,96.5,-0.37,12.0706,60.9,False,0,
Templeton Global Focus A (acc) USD,MSCI ACWI NR USD,300,-0.6363,-3.1815,17.2,15.51,5.24,42.3,96.4,114.6,-59.37,11.8597,59.9,True,16,2003-02
abrdn-Indian Equity A Acc USD,MSCI India NR USD,305,-0.027,-0.136,22.21,25.69,8.11,51.1,87.1,81.7,16.86,11.5967,58.5,True,9,2006-01
Schroder ISF Dynamic Inc A Acc USD,Bloomberg Global Aggregate TR USD [40.00%]; MSCI ACWI NR USD [60.00%],28,-1.3821,-2.1112,6.72,8.46,3.21,28.6,72.1,79.6,-9.48,11.5162,58.1,True,1,2025-04
Janus Henderson Glb Rl EstEqInc A5mUSD,FTSE EPRA Nareit Global REITs NR USD,56,-0.2232,-0.4822,17.76,18.21,2.56,51.8,95.7,97.4,-2.26,11.51,58.1,True,1,2025-02
